"sa2_code_2021","sa2_name_2021","sa2_code_2011","sa2_name_2011","weight_norm_to_2021","weight_percent_to_2021","lga_code_2021","lga_name_2021","nsw_lhd_name"
"122031696","Frenchs Forest - Oxford Falls",122031428,"Frenchs Forest - Belrose",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"122031429","Freshwater - Brookvale",122031429,"Freshwater - Brookvale",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"115021298","Galston - Laughtondale",115021298,"Galston - Laughtondale",1,"100.0%",14000,"Hornsby","Northern Sydney"
"105031104","Gilgandra",105031104,"Gilgandra",1,"100.0%",12950,"Gilgandra","Western NSW"
"126021498","Gladesville - Huntleys Point",126021498,"Gladesville - Huntleys Point",1,"100.0%",16700,"Ryde","Northern Sydney"
"117031331","Glebe - Forest Lodge",117031331,"Glebe - Forest Lodge",1,"100.0%",17200,"Sydney","Sydney"
"127011727","Gledswood Hills - Gregory Hills",127011506,"Cobbitty - Leppington",1,"100.0%",11450,"Camden","South Western Sydney"
"110021190","Glen Innes",110021190,"Glen Innes",1,"100.0%",13010,"Glen Innes Severn","Hunter New England"
"111011209","Glendale - Cardiff - Hillsborough",111011209,"Glendale - Cardiff - Hillsborough",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"116031314","Glendenning - Dean Park",116031314,"Glendenning Dean Park",1,"100.0%",10750,"Blacktown","Western Sydney"
"123021704","Glenfield",123021442,"Macquarie Fields - Glenfield",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"115011294","Glenhaven",115011294,"Glenhaven",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"124031460","Glenmore Park - Regentville",124031460,"Glenmore Park - Regentville",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"116021309","Glenwood",116021309,"Glenwood",1,"100.0%",10750,"Blacktown","Western Sydney"
"108051167","Gloucester",108051167,"Gloucester",1,"100.0%",15240,"Mid-Coast","Hunter New England"
"101021610","Googong",101021011,"Queanbeyan Region",1,"100.0%",16490,"Queanbeyan-Palerang Regional","Southern NSW"
"112021246","Goonellabah",112021246,"Goonellabah",1,"100.0%",14850,"Lismore","Northern NSW"
"121031407","Gordon - Killara",121031407,"Gordon - Killara",1,"100.0%",14500,"Ku-ring-gai","Northern Sydney"
"102021048","Gorokan - Kanwal - Charmhaven",102021048,"Gorokan - Kanwal - Charmhaven",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"102011032","Gosford - Springfield",102011032,"Gosford - Springfield",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"101051539","Goulburn",101011001,"Goulburn",1,"100.0%",13310,"Goulburn Mulwaree","Southern NSW"
"101051540","Goulburn Surrounds",101011002,"Goulburn Region",1,"100.0%",17640,"Upper Lachlan Shire","Southern NSW"
"104011080","Grafton",104011080,"Grafton",1,"100.0%",11730,"Clarence Valley","Northern NSW"
"104011081","Grafton Surrounds",104011081,"Grafton Region",1,"100.0%",11730,"Clarence Valley","Northern NSW"
"125031481","Granville - Clyde",125031481,"Granville - Clyde",1,"100.0%",12380,"Cumberland","Western Sydney"
"127011594","Green Valley",127011507,"Green Valley - Cecil Hills",1,"100.0%",14900,"Liverpool","South Western Sydney"
"119011655","Greenacre - North",119011357,"Greenacre - Mount Lewis",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"119011656","Greenacre - South",119011357,"Greenacre - Mount Lewis",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"127021517","Greenfield Park - Prairiewood",127021517,"Greenfield Park - Prairiewood",1,"100.0%",12850,"Fairfield","South Western Sydney"
"121011685","Greenwich - Riverview",121011400,"Lane Cove - Greenwich",1,"100.0%",14700,"Lane Cove","Northern Sydney"
"103021066","Grenfell",103021066,"Grenfell",1,"100.0%",18100,"Weddin","Western NSW"
"125031713","Greystanes - South",125031482,"Greystanes - Pemulwuy",1,"100.0%",12380,"Cumberland","Western Sydney"
"113011256","Griffith (NSW)",113011256,"Griffith (NSW)",1,"100.0%",13450,"Griffith","Murrumbidgee"
"113011257","Griffith Surrounds",113011257,"Griffith Region",1,"100.0%",11600,"Carrathool","Murrumbidgee"
"125031483","Guildford - South Granville",125031483,"Guildford - South Granville",1,"100.0%",12380,"Cumberland","Western Sydney"
"125031484","Guildford West - Merrylands West",125031484,"Guildford West - Merrylands West",1,"100.0%",12380,"Cumberland","Western Sydney"
"113031264","Gundagai",113031264,"Gundagai",1,"100.0%",12160,"Cootamundra-Gundagai Regional","Murrumbidgee"
"110041199","Gunnedah",110041199,"Gunnedah",1,"100.0%",13550,"Gunnedah","Hunter New England"
"110041200","Gunnedah Surrounds",110041200,"Gunnedah Region",1,"100.0%",13550,"Gunnedah","Hunter New England"
"128011529","Gymea - Grays Point",128011529,"Gymea - Grays Point",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"120031395","Haberfield - Summer Hill",120031395,"Haberfield - Summer Hill",1,"100.0%",14170,"Inner West","Sydney"
"111031224","Hamilton - Broadmeadow",111031224,"Hamilton - Broadmeadow",1,"100.0%",15900,"Newcastle","Hunter New England"
"123011700","Harrington Park",123011434,"Elderslie - Harrington Park",1,"100.0%",11450,"Camden","South Western Sydney"
"116031315","Hassall Grove - Plumpton",116031315,"Hassall Grove - Plumpton",1,"100.0%",10750,"Blacktown","Western Sydney"
"109021177","Hay",109021177,"Hay",1,"100.0%",13850,"Hay","Murrumbidgee"
"128021533","Heathcote - Waterfall",128021533,"Heathcote - Waterfall",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"107041147","Helensburgh",107041147,"Helensburgh",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
"114021285","Hill Top - Colo Vale",114021285,"Hill Top - Colo Vale",1,"100.0%",18350,"Wingecarribee","South Western Sydney"
"127011595","Hinchinbrook",127011507,"Green Valley - Cecil Hills",1,"100.0%",14900,"Liverpool","South Western Sydney"
"127031524","Holsworthy - Wattle Grove",127031524,"Holsworthy - Wattle Grove",1,"100.0%",14900,"Liverpool","South Western Sydney"
"123021439","Holsworthy Military Area",123021439,"Holsworthy Military Area",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"120031396","Homebush",120031396,"Homebush",1,"100.0%",17100,"Strathfield","Sydney"
"121021577","Hornsby - East",121021405,"Hornsby - Waitara",1,"100.0%",14000,"Hornsby","Northern Sydney"
"121021578","Hornsby - West",121021405,"Hornsby - Waitara",1,"100.0%",14000,"Hornsby","Northern Sydney"
"107011132","Horsley - Kembla Grange",107011132,"Horsley - Kembla Grange",1,"100.0%",18450,"Wollongong","Illawarra Shoalhaven"
"127021518","Horsley Park - Kemps Creek",127021518,"Horsley Park - Kemps Creek",1,"100.0%",12850,"Fairfield","South Western Sydney"
"127011596","Hoxton Park - Carnes Hill - Horningsea Park",127011508,"Hoxton Park - Horningsea Park",1,"100.0%",14900,"Liverpool","South Western Sydney"
"126021499","Hunters Hill - Woolwich",126021499,"Hunters Hill - Woolwich",1,"100.0%",14100,"Hunters Hill","Northern Sydney"
"119031664","Hurstville - Central",119031368,"Hurstville",1,"100.0%",12930,"Georges River","South Eastern Sydney"
"119031665","Hurstville - North",119031368,"Hurstville",1,"100.0%",12930,"Georges River","South Eastern Sydney"
"114011276","Huskisson - Vincentia",114011276,"Huskisson - Vincentia",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
"107021135","Illawarra Catchment Reserve",107021135,"Illawarra Catchment Reserve",1,"100.0%",18450,"Wollongong","South Western Sydney"
"128021534","Illawong - Alfords Point",128021534,"Illawong - Alfords Point",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"123021705","Ingleburn",123021440,"Ingleburn - Denham Court",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"110021191","Inverell",110021191,"Inverell",1,"100.0%",14220,"Inverell","Hunter New England"
"110021192","Inverell Surrounds - East",110021192,"Inverell Region - East",1,"100.0%",14220,"Inverell","Hunter New England"
"110021193","Inverell Surrounds - West",110021193,"Inverell Region - West",1,"100.0%",13660,"Gwydir","Hunter New England"
"124031461","Jamisontown - South Penrith",124031461,"Jamisontown - South Penrith",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"102021049","Jilliby - Yarramalong",102021049,"Jilliby - Yarramalong",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"101031016","Jindabyne - Berridale",101031016,"Jindabyne - Berridale",1,"100.0%",17040,"Snowy Monaro Regional","Southern NSW"
"124031708","Jordan Springs - Llandilo",124031458,"Castlereagh - Cranebrook",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"113031265","Junee",113031265,"Junee",1,"100.0%",14300,"Junee","Murrumbidgee"
"101021008","Karabar",101021008,"Karabar",1,"100.0%",16490,"Queanbeyan-Palerang Regional","Southern NSW"
"102011033","Kariong",102011033,"Kariong",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"124011452","Katoomba - Leura",124011452,"Katoomba - Leura",1,"100.0%",10900,"Blue Mountains","Nepean Blue Mountains"
"115011621","Kellyville - East",115011295,"Kellyville",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"115011622","Kellyville - West",115011295,"Kellyville",0.999997384452284,"100.0%",17420,"The Hills Shire","Western Sydney"
"115011622","Kellyville - West",115011291,"Baulkham Hills (West) - Bella Vista",2.61554771561169e-06,"0.0%",17420,"The Hills Shire","Western Sydney"
"116021628","Kellyville Ridge - The Ponds",116021310,"Parklea - Kellyville Ridge",1,"100.0%",10750,"Blacktown","Western Sydney"
"108021155","Kempsey",108021155,"Kempsey",1,"100.0%",14350,"Kempsey","Mid North Coast"
"108021156","Kempsey Surrounds",108021156,"Kempsey Region",1,"100.0%",14350,"Kempsey","Mid North Coast"
"118021564","Kensington (NSW)",118021349,"Kensington - Kingsford",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"107031138","Kiama",107031138,"Kiama",1,"100.0%",14400,"Kiama","Illawarra Shoalhaven"
"107031139","Kiama Downs - Minnamurra",107031139,"Kiama Downs - Minnamurra",1,"100.0%",14400,"Kiama","Illawarra Shoalhaven"
"107031140","Kiama Hinterland - Gerringong",107031140,"Kiama Hinterland - Gerringong",1,"100.0%",14400,"Kiama","Illawarra Shoalhaven"
"102011034","Kincumber - Picketts Valley",102011034,"Kincumber - Picketts Valley",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"112031250","Kingscliff - Fingal Head",112031250,"Kingscliff - Fingal Head",1,"100.0%",17550,"Tweed","Northern NSW"
"118021565","Kingsford",118021349,"Kensington - Kingsford",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"119041377","Kingsgrove (South) - Bardwell Park",119041377,"Kingsgrove (South) - Bardwell Park",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"119021663","Kingsgrove - North",119021364,"Kingsgrove (North) - Earlwood",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
"124031462","Kingswood - Werrington",124031462,"Kingswood - Werrington",1,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"119041378","Kogarah",119041378,"Kogarah",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"119041379","Kogarah Bay - Carlton - Allawah",119041379,"Kogarah Bay - Carlton - Allawah",1,"100.0%",12930,"Georges River","South Eastern Sydney"
"104021088","Korora - Emerald Beach",104021088,"Korora - Emerald Beach",1,"100.0%",11800,"Coffs Harbour","Mid North Coast"
"115031300","Kurrajong Heights - Ebenezer",115031300,"Kurrajong Heights - Ebenezer",1,"100.0%",13800,"Hawkesbury","Nepean Blue Mountains"
"106011111","Kurri Kurri - Abermain",106011111,"Kurri Kurri - Abermain",1,"100.0%",11720,"Cessnock","Hunter New England"
"112021247","Kyogle",112021247,"Kyogle",1,"100.0%",14550,"Kyogle","Northern NSW"
"102021050","Lake Munmorah - Mannering Park",102021050,"Lake Munmorah - Mannering Park",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"119021573","Lakemba",119021365,"Lakemba - Wiley Park",1,"100.0%",11570,"Canterbury-Bankstown","Sydney"
"116011307","Lalor Park - Kings Langley",116011307,"Lalor Park - Kings Langley",1,"100.0%",10750,"Blacktown","Western Sydney"
"111031225","Lambton - New Lambton",111031225,"Lambton - New Lambton",1,"100.0%",15900,"Newcastle","Hunter New England"
"121011686","Lane Cove",121011400,"Lane Cove - Greenwich",1,"100.0%",14700,"Lane Cove","Northern Sydney"
"108041162","Laurieton - Bonny Hills",108041162,"Laurieton - Bonny Hills",1,"100.0%",16380,"Port Macquarie-Hastings","Mid North Coast"
"109011176","Lavington",109011176,"Lavington",1,"100.0%",10050,"Albury","Albury Wodonga Health (Network with Victoria)"
"124011453","Lawson - Hazelbrook - Linden",124011453,"Lawson - Hazelbrook - Linden",1,"100.0%",10900,"Blue Mountains","Nepean Blue Mountains"
"113011258","Leeton",113011258,"Leeton",1,"100.0%",14750,"Leeton","Murrumbidgee"
"120021675","Leichhardt",120021388,"Leichhardt - Annandale",1,"100.0%",14170,"Inner West","Sydney"
"106031120","Lemon Tree Passage - Tanilba Bay",106031120,"Lemon Tree Passage - Tanilba Bay",1,"100.0%",16400,"Port Stephens","Hunter New England"
"112011242","Lennox Head - Skennars Head",112011242,"Lennox Head - Skennars Head",1,"100.0%",10250,"Ballina","Northern NSW"
"127011728","Leppington - Catherine Field",127011506,"Cobbitty - Leppington",0.989868341712364,"99.0%",11450,"Camden","South Western Sydney"
"127011728","Leppington - Catherine Field",123021440,"Ingleburn - Denham Court",0.0101316582876364,"1.0%",11450,"Camden","South Western Sydney"
"116031316","Lethbridge Park - Tregear",116031316,"Lethbridge Park - Tregear",1,"100.0%",10750,"Blacktown","Western Sydney"
"123021441","Leumeah - Minto Heights",123021441,"Leumeah - Minto Heights",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"125011586","Lidcombe",125011474,"Lidcombe - Regents Park",1,"100.0%",12380,"Cumberland","Western Sydney"
"128011605","Lilli Pilli - Port Hacking - Dolans Bay",128011527,"Caringbah - Lilli Pilli",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"120021389","Lilyfield - Rozelle",120021389,"Lilyfield - Rozelle",1,"100.0%",14170,"Inner West","Sydney"
"121031408","Lindfield - Roseville",121031408,"Lindfield - Roseville",1,"100.0%",14500,"Ku-ring-gai","Northern Sydney"
"112021248","Lismore",112021248,"Lismore",1,"100.0%",14850,"Lismore","Northern NSW"
"112021249","Lismore Surrounds",112021249,"Lismore Region",0.999839025916827,"100.0%",14850,"Lismore","Northern NSW"
"112021249","Lismore Surrounds",112011237,"Ballina Region",0.000160974083172609,"0.0%",14850,"Lismore","Northern NSW"
"103031070","Lithgow",103031070,"Lithgow",1,"100.0%",14870,"Lithgow","Nepean Blue Mountains"
"103031071","Lithgow Surrounds",103031071,"Lithgow Region",1,"100.0%",14870,"Lithgow","Nepean Blue Mountains"
"127031731","Liverpool - East",127031525,"Liverpool - Warwick Farm",1,"100.0%",14900,"Liverpool","South Western Sydney"
"127031732","Liverpool - West",127031525,"Liverpool - Warwick Farm",1,"100.0%",14900,"Liverpool","South Western Sydney"
"128021608","Loftus - Yarrawarrah",128021532,"Engadine - Loftus",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"108031161","Lord Howe Island",108031161,"Lord Howe Island",1,"100.0%",19399,"Unincorporated NSW","South Eastern Sydney"
"127031599","Lurnea - Cartwright",127031526,"Prestons - Lurnea",1,"100.0%",14900,"Liverpool","South Western Sydney"
"108021157","Macksville - Scotts Head",108021157,"Macksville - Scotts Head",1,"100.0%",15700,"Nambucca Valley","Mid North Coast"
"104011082","Maclean - Yamba - Iluka",104011082,"Maclean - Yamba - Iluka",1,"100.0%",11730,"Clarence Valley","Northern NSW"
"123021706","Macquarie Fields",123021442,"Macquarie Fields - Glenfield",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"126021500","Macquarie Park - Marsfield",126021500,"Macquarie Park - Marsfield",1,"100.0%",16700,"Ryde","Northern Sydney"
"106021114","Maitland",106021114,"Maitland",1,"100.0%",15050,"Maitland","Hunter New England"
"106021116","Maitland - North",106021116,"Maitland - North",1,"100.0%",15050,"Maitland","Hunter New England"
"118021652","Malabar - La Perouse",118021350,"Malabar - La Perouse - Chifley",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"122011419","Manly - Fairlight",122011419,"Manly - Fairlight",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"122031430","Manly Vale - Allambie Heights",122031430,"Manly Vale - Allambie Heights",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"118021566","Maroubra - North",118021351,"Maroubra",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"118021567","Maroubra - South",118021351,"Maroubra",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"118021568","Maroubra - West",118021351,"Maroubra",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"117021636","Marrickville - North",117021326,"Marrickville",1,"100.0%",14170,"Inner West","Sydney"
"117021637","Marrickville - South",117021326,"Marrickville",1,"100.0%",14170,"Inner West","Sydney"
"116021629","Marsden Park - Shanes Park",116021312,"Riverstone - Marsden Park",1,"100.0%",10750,"Blacktown","Western Sydney"
"111031226","Maryland - Fletcher - Minmi",111031226,"Maryland - Fletcher - Minmi",1,"100.0%",15900,"Newcastle","Hunter New England"
"117011635","Mascot",117011322,"Mascot - Eastlakes",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"118021653","Matraville - Chifley",118021350,"Malabar - La Perouse - Chifley",1,"100.0%",16550,"Randwick","South Eastern Sydney"
"111031227","Mayfield - Warabrook",111031227,"Mayfield - Warabrook",1,"100.0%",15900,"Newcastle","Hunter New England"
"128021535","Menai - Lucas Heights - Woronora",128021535,"Menai - Lucas Heights - Woronora",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"111031228","Merewether - The Junction",111031228,"Merewether - The Junction",1,"100.0%",15900,"Newcastle","Hunter New England"
"101041025","Merimbula - Tura Beach",101041025,"Merimbula - Tura Beach",1,"100.0%",10550,"Bega Valley","Southern NSW"
"125031714","Merrylands - Holroyd",125031485,"Merrylands - Holroyd",1,"100.0%",12380,"Cumberland","Western Sydney"
"123021443","Minto - St Andrews",123021443,"Minto - St Andrews",1,"100.0%",11500,"Campbelltown (NSW)","South Western Sydney"
"128011530","Miranda - Yowie Bay",128011530,"Miranda - Yowie Bay",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"114021286","Mittagong",114021286,"Mittagong",1,"100.0%",18350,"Wingecarribee","South Western Sydney"
"109031184","Moama",109031184,"Moama",1,"100.0%",15520,"Murray River","Murrumbidgee"
"122021690","Mona Vale - Warriewood (North)",122021423,"Warriewood - Mona Vale",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"119041380","Monterey - Brighton-le-Sands - Kyeemagh",119041380,"Monterey - Brighton-le-Sands - Kyeemagh",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"110031195","Moree",110031195,"Moree",1,"100.0%",15300,"Moree Plains","Hunter New England"
"110031196","Moree Surrounds",110031196,"Moree Region",1,"100.0%",15300,"Moree Plains","Hunter New England"
"111021218","Morisset - Cooranbong",111021218,"Morisset - Cooranbong",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"119031666","Mortdale - Oatley",119031369,"Mortdale - Penshurst",1,"100.0%",12930,"Georges River","South Eastern Sydney"
"101041026","Moruya - Tuross Head",101041026,"Moruya - Tuross Head",1,"100.0%",12750,"Eurobodalla","Southern NSW"
"121041688","Mosman - North",121041415,"Mosman",1,"100.0%",15350,"Mosman","Northern Sydney"
"121041689","Mosman - South",121041415,"Mosman",1,"100.0%",15350,"Mosman","Northern Sydney"
"114021287","Moss Vale - Berrima",114021287,"Moss Vale - Berrima",1,"100.0%",18350,"Wingecarribee","South Western Sydney"
"123011701","Mount Annan",123011435,"Mount Annan - Currans Hill",1,"100.0%",11450,"Camden","South Western Sydney"
"116031317","Mount Druitt - Whalan",116031317,"Mount Druitt - Whalan",1,"100.0%",10750,"Blacktown","Western Sydney"
"111011210","Mount Hutton - Windale",111011210,"Mount Hutton - Windale",1,"100.0%",14650,"Lake Macquarie","Hunter New England"
"103031072","Mudgee",103031072,"Mudgee",1,"100.0%",15270,"Mid-Western Regional","Western NSW"
"103031073","Mudgee Surrounds - East",103031073,"Mudgee Region - East",1,"100.0%",15270,"Mid-Western Regional","Western NSW"
"103031074","Mudgee Surrounds - West",103031074,"Mudgee Region - West",1,"100.0%",15270,"Mid-Western Regional","Western NSW"
"124031463","Mulgoa - Luddenham - Orchard Hills",124031463,"Mulgoa - Luddenham - Orchard Hills",0.999615265913896,"100.0%",16350,"Penrith","Nepean Blue Mountains"
"124031463","Mulgoa - Luddenham - Orchard Hills",124031460,"Glenmore Park - Regentville",0.000384734086103509,"0.0%",16350,"Penrith","Nepean Blue Mountains"
"112011243","Mullumbimby",112011243,"Mullumbimby",1,"100.0%",11350,"Byron","Northern NSW"
"112031251","Murwillumbah",112031251,"Murwillumbah",0.999866217900045,"100.0%",17550,"Tweed","Northern NSW"
"112031251","Murwillumbah",112031252,"Murwillumbah Region",0.000133782099955026,"0.0%",17550,"Tweed","Northern NSW"
"112031252","Murwillumbah Surrounds",112031252,"Murwillumbah Region",1,"100.0%",17550,"Tweed","Northern NSW"
"106041126","Muswellbrook",106041126,"Muswellbrook",1,"100.0%",15650,"Muswellbrook","Hunter New England"
"106041127","Muswellbrook Surrounds",106041127,"Muswellbrook Region",1,"100.0%",15650,"Muswellbrook","Hunter New England"
"108021158","Nambucca Heads",108021158,"Nambucca Heads",1,"100.0%",15700,"Nambucca Valley","Mid North Coast"
"108021159","Nambucca Heads Surrounds",108021159,"Nambucca Heads Region",1,"100.0%",15700,"Nambucca Valley","Mid North Coast"
"102011035","Narara",102011035,"Narara",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"101041027","Narooma - Bermagui",101041027,"Narooma - Bermagui",1,"100.0%",12750,"Eurobodalla","Southern NSW"
"122031697","Narrabeen - Wheeler Heights",122031431,"Narrabeen - Collaroy",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"110031197","Narrabri",110031197,"Narrabri",1,"100.0%",15750,"Narrabri","Hunter New England"
"110031198","Narrabri Surrounds",110031198,"Narrabri Region",1,"100.0%",15750,"Narrabri","Hunter New England"
"113011259","Narrandera",113011259,"Narrandera",1,"100.0%",15800,"Narrandera","Murrumbidgee"
"105031105","Narromine",105031105,"Narromine",1,"100.0%",15850,"Narromine","Western NSW"
"119031370","Narwee - Beverly Hills",119031370,"Narwee - Beverly Hills",1,"100.0%",12930,"Georges River","South Eastern Sydney"
"106031121","Nelson Bay Peninsula",106031121,"Nelson Bay Peninsula",1,"100.0%",16400,"Port Stephens","Hunter New England"
"121041416","Neutral Bay - Kirribilli",121041416,"Neutral Bay - Kirribilli",0.997761123814273,"99.8%",15950,"North Sydney","Northern Sydney"
"121041416","Neutral Bay - Kirribilli",121041413,"Cremorne - Cammeray",0.00223887618572685,"0.2%",15950,"North Sydney","Northern Sydney"
"111031229","Newcastle - Cooks Hill",111031229,"Newcastle - Cooks Hill",1,"100.0%",15900,"Newcastle","Hunter New England"
"111031230","Newcastle Port - Kooragang",111031230,"Newcastle Port - Kooragang",1,"100.0%",15900,"Newcastle","Hunter New England"
"122021422","Newport - Bilgola",122021422,"Newport - Bilgola",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"117031640","Newtown (NSW)",117031332,"Newtown - Camperdown - Darlington",1,"100.0%",14170,"Inner West","Sydney"
"102011036","Niagara Park - Lisarow",102011036,"Niagara Park - Lisarow",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"121021406","Normanhurst - Thornleigh - Westleigh",121021406,"Normanhurst - Thornleigh - Westleigh",0.999319563309343,"99.9%",14000,"Hornsby","Northern Sydney"
"121021406","Normanhurst - Thornleigh - Westleigh",121021405,"Hornsby - Waitara",0.000680436690657331,"0.1%",14000,"Hornsby","Northern Sydney"
"115041624","North Kellyville",115041302,"Rouse Hill - Beaumont Hills",1,"100.0%",17420,"The Hills Shire","Western Sydney"
"122021691","North Narrabeen - Warriewood (South)",122021423,"Warriewood - Mona Vale",1,"100.0%",15990,"Northern Beaches","Northern Sydney"
"114011277","North Nowra - Bomaderry",114011277,"North Nowra - Bomaderry",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
"125041489","North Parramatta",125041489,"North Parramatta",1,"100.0%",16260,"Parramatta","Western Sydney"
"125041490","North Rocks",125041490,"North Rocks",1,"100.0%",16260,"Parramatta","Western Sydney"
"126021501","North Ryde - East Ryde",126021501,"North Ryde - East Ryde",1,"100.0%",16700,"Ryde","Northern Sydney"
"121041417","North Sydney - Lavender Bay",121041417,"North Sydney - Lavender Bay",1,"100.0%",15950,"North Sydney","Northern Sydney"
"125041491","Northmead",125041491,"Northmead",1,"100.0%",16260,"Parramatta","Western Sydney"
"114011278","Nowra",114011278,"Nowra",1,"100.0%",16950,"Shoalhaven","Illawarra Shoalhaven"
"105011095","Nyngan - Warren",105011095,"Nyngan - Warren",1,"100.0%",10950,"Bogan","Western NSW"
"125021478","Oatlands - Dundas Valley",125021478,"Oatlands - Dundas Valley",1,"100.0%",16260,"Parramatta","Western Sydney"
"119031371","Oatley - Hurstville Grove",119031371,"Oatley - Hurstville Grove",1,"100.0%",12930,"Georges River","South Eastern Sydney"
"103011061","Oberon",103011061,"Oberon",1,"100.0%",16100,"Oberon","Western NSW"
"108051168","Old Bar - Manning Point - Red Head",108051168,"Old Bar - Manning Point - Red Head",1,"100.0%",15240,"Mid-Coast","Hunter New England"
"127011729","Oran Park",127011506,"Cobbitty - Leppington",1,"100.0%",11450,"Camden","South Western Sydney"
"103041077","Orange",103041077,"Orange",1,"100.0%",16150,"Orange","Western NSW"
"103041078","Orange - North",103041078,"Orange - North",1,"100.0%",16150,"Orange","Western NSW"
"103041079","Orange Surrounds",103041079,"Orange Region",1,"100.0%",11400,"Cabonne","Western NSW"
"102021051","Ourimbah - Fountaindale",102021051,"Ourimbah - Fountaindale",1,"100.0%",11650,"Central Coast (NSW)","Central Coast"
"128021536","Oyster Bay - Como - Jannali",128021536,"Oyster Bay - Como - Jannali",1,"100.0%",17150,"Sutherland Shire","South Eastern Sydney"
"118011345","Paddington - Moore Park",118011345,"Paddington - Moore Park",1,"100.0%",17200,"Sydney","South Eastern Sydney"
"119011358","Padstow",119011358,"Padstow",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"117011323","Pagewood - Hillsdale - Daceyville",117011323,"Pagewood - Hillsdale - Daceyville",1,"100.0%",10500,"Bayside (NSW)","South Eastern Sydney"
"119011657","Panania (North) - Milperra",119011359,"Panania - Milperra - Picnic Point",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"119011658","Panania (South) - Picnic Point",119011359,"Panania - Milperra - Picnic Point",1,"100.0%",11570,"Canterbury-Bankstown","South Western Sydney"
"103021067","Parkes (NSW)",103021067,"Parkes (NSW)",1,"100.0%",16200,"Parkes","Western NSW"
"103021068","Parkes Surrounds",103021068,"Parkes Region",1,"100.0%",16200,"Parkes","Western NSW"
"125041717","Parramatta - North",125041492,"Parramatta - Rosehill",1,"100.0%",16260,"Parramatta","Western Sydney"
"125041718","Parramatta - South",125041492,"Parramatta - Rosehill",1,"100.0%",16260,"Parramatta","Western Sydney"
"119031372","Peakhurst - Lugarno",119031372,"Peakhurst - Lugarno",0.984645535976535,"98.5%",12930,"Georges River","South Eastern Sydney"
"119031372","Peakhurst - Lugarno",119031373,"Riverwood",0.0153544640234645,"1.5%",12930,"Georges River","South Eastern Sydney"
